loadoutName,1,2,3,4,5,6,7,8,9,10,
loadoutPrimary,iw8_ar_t9standard,iw8_pi_t9semiauto,iw8_lm_t9light,iw8_lm_t9accurate,iw8_ar_t9mobility,iw8_sh_t9fullauto,iw8_sh_t9pump,iw8_ar_t9standard,iw8_pi_t9revolver,iw8_ar_t9slowhandling,
loadoutPrimaryAttachment1,none,laserads,none,holo,holo2,reflexmini2,none,laserrange,barcust,none,
loadoutPrimaryAttachment2,none,comp,none,xmags,stockh,laserads,none,xmagslrg,xmagslrg,none,
loadoutPrimaryAttachment3,none,xmags,none,barcust,silencer4,silencer4,none,gripcust,silencer2,none,
loadoutPrimaryAttachment4,none,akimbo,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment5,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryCamo,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryReticle,none,none,none,none,none,none,none,none,none,none,
loadoutSecondary,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment1,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment2,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment3,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment4,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment5,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryCamo,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryReticle,none,none,none,none,none,none,none,none,none,none,
loadoutEquipmentPrimary,equip_c4,equip_molotov,equip_semtex,equip_frag,equip_molotov,equip_semtex,equip_frag,equip_molotov,equip_semtex,equip_frag,
loadoutExtraPowerPrimary,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
loadoutEquipmentSecondary,equip_snapshot_grenade,equip_smoke,equip_concussion,equip_flash,equip_concussion,equip_flash,equip_snapshot_grenade,equip_smoke,equip_concussion,equip_flash,
loadoutExtraPowerSecondary,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
loadoutPerk1,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk1,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutOverkill,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
