0,iw8_pi_t9revolver_variant_0,iw8_pi_t9revolver,,,,,,,,,,,,,,,WEAPON_TANGO/PI_T9REVOLVER,ui_loot_weapon_pi_t9revolver,,,
1,iw8_pi_t9revolver_variant_1,iw8_pi_t9revolver,,rec|1 front|1 mag|1,silencer|1,barshort|1,,,,,pistolgrip03|0,,,,,,WEAPON_TANGO/PI_T9REVOLVER_V2,ui_loot_weapon_pi_t9revolver_v1,,,
2,iw8_pi_t9revolver_variant_2,iw8_pi_t9revolver,,rec|2 front|2 mag|2,,barmid|1,,,reflex|1,smags|1,,,,,,,WEAPON_TANGO/PI_T9REVOLVER_V3,ui_loot_weapon_pi_t9revolver_v2,,,
3,iw8_pi_t9revolver_variant_3,iw8_pi_t9revolver,,rec|3 front|3 mag|3,comp|1,barcust3|1,,,,fastmags|1,,akimbo|0,,,,,WEAPON_TANGO/PI_T9REVOLVER_V4,ui_loot_weapon_pi_t9revolver_v3,,,
4,iw8_pi_t9revolver_variant_4,iw8_pi_t9revolver,,rec|4 front|4 mag|4,linearbrake|1,barlong|1,laserads|0,,,xmags|1,pistolgrip05|1,,,,,,WEAPON_TANGO/PI_T9REVOLVER_V5,ui_loot_weapon_pi_t9revolver_v4,,,
5,iw8_pi_t9revolver_variant_5,iw8_pi_t9revolver,,rec|5 front|5 mag|5,,barlong|2,,,,xmags|2,pistolgrip04|0,,,,,,WEAPON_VICTOR/PI_T9REVOLVER_V6,ui_loot_weapon_pi_t9revolver_v5,,,
6,iw8_pi_t9revolver_variant_6,iw8_pi_t9revolver,,rec|6 front|6 mag|6,,barmid|2,laserrange|1,,reflexmini2|1,fastmags|2,,,,,,,WEAPON_VICTOR/PI_T9REVOLVER_V7,ui_loot_weapon_pi_t9revolver_v6,,,
7,iw8_pi_t9revolver_variant_7,iw8_pi_t9revolver,,rec|7 front|7 mag|7,linearbrake|2,barcust|3,laserrange|2,,reflex|2,xmagslrg|2,,,,,,,WEAPON_VICTOR/PI_T9REVOLVER_V8,ui_loot_weapon_pi_t9revolver_v7,,,
8,iw8_pi_t9revolver_variant_8,iw8_pi_t9revolver,iw8_pi_t9revolver_mpmtx,rec|8 front|8 mag|8,silencer2|1,,laserads|2,,,fastmags2|1,pistolgrip05|2,akimbo|0,,,,,WEAPON_XRAY/PI_T9REVOLVER_V9,ui_loot_weapon_pi_t9revolver_v8,,goldPurple,
9,iw8_pi_t9revolver_variant_9,iw8_pi_t9revolver,,rec|9 front|9 mag|9,comp|2,barcust2|2,,,reflexmini2|2,xmags|3,,,,,,,WEAPON_ZULU/PI_T9REVOLVER_V10,ui_loot_weapon_pi_t9revolver_v9,,,
10,iw8_pi_t9revolver_variant_10,iw8_pi_t9revolver,iw8_pi_t9revolver_mpmtx2,rec|10 front|10 mag|10,silencer2|2,barcust3|2,laserrange|3,,,smags|2,,akimbo|0,,,,,WEAPON_ZULU/PI_T9REVOLVER_V11,ui_loot_weapon_pi_t9revolver_v10,,paintball,
11,iw8_pi_t9revolver_variant_11,iw8_pi_t9revolver,,rec|11 front|11 mag|11,silencer2|3,,laserrange|4,,reflexmini|1,xmagslrg|3,,,,,,,WEAPON_ZULU/PI_T9REVOLVER_V12,ui_loot_weapon_pi_t9revolver,,,
12,iw8_pi_t9revolver_variant_12,iw8_pi_t9revolver,,rec|12 front|12 mag|12,silencer|2,barcust2|3,laserrange|5,,,smags2|1,,,,,,,WEAPON_ZULU/PI_T9REVOLVER_V13,ui_loot_weapon_pi_t9revolver_v12,,,
13,iw8_pi_t9revolver_variant_13,iw8_pi_t9revolver,,rec|13 front|13 mag|13,comp|3,barlong|3,laserbalanced|2,,,,pistolgrip05|3,akimbo|0,,,,,WEAPON_ACTOR/PI_T9REVOLVER_V14,ui_loot_weapon_pi_t9revolver,,,
