0,iw8_pi_t9semiauto_variant_0,iw8_pi_t9semiauto,,,,,,,,,,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO,ui_loot_weapon_pi_t9semiauto,,,,
1,iw8_pi_t9semiauto_variant_1,iw8_pi_t9semiauto,,rec|1 front|1 mag|1,silencer|0,barmid|2,laserads|0,,,xmags|0,pistolgrip04|2,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO_V2,ui_loot_weapon_pi_t9semiauto_v1,,,,
2,iw8_pi_t9semiauto_variant_2,iw8_pi_t9semiauto,,rec|2 front|2 mag|2,,barcust|2,,,,xmags|1,pistolgrip03|0,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO_V3,ui_loot_weapon_pi_t9semiauto_v2,,,,
3,iw8_pi_t9semiauto_variant_3_ms,iw8_pi_t9semiauto,,rec|8 front|8 mag|3,linearbrake|3,,,,,fastmags|0,pistolgrip06|3,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO_V4,ui_loot_weapon_pi_t9semiauto_v3,,,,
4,iw8_pi_t9semiauto_variant_4,iw8_pi_t9semiauto,,rec|4 front|4 mag|4,,barmid|1,laserads|1,,reflexmini|1,,pistolgrip02|1,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO_V5,ui_loot_weapon_pi_t9semiauto_v4,,,,
5,iw8_pi_t9semiauto_variant_5_ms,iw8_pi_t9semiauto,,rec|10 front|10 mag|5,comp|3,barshort|3,,,,fastmags|0,pistolgrip05|3,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO_V6,ui_loot_weapon_pi_t9semiauto_v5,,,,
6,iw8_pi_t9semiauto_variant_6,iw8_pi_t9semiauto,,rec|6 front|6 mag|6,silencer4,barcust3|1,laser|1,,,fastmags|0,pistolgrip03|0,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO_V7,ui_loot_weapon_pi_t9semiauto_v6,,,,
7,iw8_pi_t9semiauto_variant_7_sy,iw8_pi_t9semiauto,,rec|11 front|11 mag|11,silencer3|0,,laserrange|0,,reflexmini2|0,xmags|0,,,,,,,WEAPON_VICTOR/PI_T9SEMIAUTO_V8,ui_loot_weapon_pi_t9semiauto_v7,,,,
8,iw8_pi_t9semiauto_variant_8,iw8_pi_t9semiauto,,rec|12 front|12 mag|12,silencer|3,barcust3|2,laserads|2,,,xmagslrg|2,pistolgrip02|2,,,,,,WEAPON_VICTOR/PI_T9SEMIAUTO_V9,ui_loot_weapon_pi_t9semiauto_v8,,,,
9,iw8_pi_t9semiauto_variant_9,iw8_pi_t9semiauto,,rec|13 front|13 mag|13,silencer|1,barcust3|3,laser|2,,,smags2|1,pistolgrip04|1,,,,,,WEAPON_VICTOR/PI_T9SEMIAUTO_V10,ui_loot_weapon_pi_t9semiauto_v9,,,,
10,iw8_pi_t9semiauto_variant_10,iw8_pi_t9semiauto,,rec|14 front|14 mag|14,silencer|2,,laser|3,,reflexmini|2,xmagslrg|3,,,,,,,WEAPON_VICTOR/PI_T9SEMIAUTO_V11,ui_loot_weapon_pi_t9semiauto_v10,,,,
11,iw8_pi_t9semiauto_variant_11,iw8_pi_t9semiauto,,rec|15 front|15 mag|15,silencer2|1,,laserbalanced|2,,,smags|1,,,,,,,WEAPON_XRAY/PI_T9SEMIAUTO_V12,ui_loot_weapon_pi_t9semiauto_v11,,,,
12,iw8_pi_t9semiauto_variant_12,iw8_pi_t9semiauto,iw8_pi_t9semiauto_mpa,rec|1 front|1 mag|1,silencer|0,,laserads|0,,,xmags|0,,,,,,,WEAPON_XRAY/PI_T9SEMIAUTO_V13,ui_loot_weapon_pi_t9semiauto_v12,,,,
13,iw8_pi_t9semiauto_variant_13,iw8_pi_t9semiauto,iw8_pi_t9semiauto_mpa,rec|2 front|2 mag|2,silencer2|2,,laserrange|2,,,smags|2,pistolgrip05|4,,,,akimbo,,WEAPON_XRAY/PI_T9SEMIAUTO_V14,ui_loot_weapon_pi_t9semiauto_v13,,,,
14,iw8_pi_t9semiauto_variant_14,iw8_pi_t9semiauto,iw8_pi_t9semiauto_mpa,rec|3 front|3 mag|3,comp|4,barmid|3,,,,,pistolgrip03|1,,,,,,WEAPON_ZULU/PI_T9SEMIAUTO_V15,ui_loot_weapon_pi_t9semiauto_v14,,,,
15,iw8_pi_t9semiauto_variant_15,iw8_pi_t9semiauto,iw8_pi_t9semiauto_mpa,rec|4 front|4 mag|4,comp|5,barcust3|4,laserrange|3,,,smags|3,,,,,,,WEAPON_ZULU/PI_T9SEMIAUTO_V16,ui_loot_weapon_pi_t9semiauto_v15,,,,
16,iw8_pi_t9semiauto_variant_16,iw8_pi_t9semiauto,iw8_pi_t9semiauto_mpdmb,rec|5 front|5 mag|5,comp|6,barlong|3,laserrange|4,,,smags|4,,,,,,,WEAPON_ZULU/PI_T9SEMIAUTO_V17,ui_loot_weapon_pi_t9semiauto_v16,,freedom,fireworkDis,
17,iw8_pi_t9semiauto_variant_3_sy,iw8_pi_t9semiauto,,rec|7 front|7 mag|3,linearbrake|2,,,,,fastmags|0,pistolgrip06|2,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO_V4,ui_loot_weapon_pi_t9semiauto_v3,,,,
18,iw8_pi_t9semiauto_variant_3_pc,iw8_pi_t9semiauto,,rec|3 front|3 mag|3,linearbrake|1,,,,,fastmags|0,pistolgrip06|1,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO_V4,ui_loot_weapon_pi_t9semiauto_v3,,,,
19,iw8_pi_t9semiauto_variant_5_sy,iw8_pi_t9semiauto,,rec|9 front|9 mag|5,comp|2,barshort|2,,,,fastmags|0,pistolgrip05|2,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO_V6,ui_loot_weapon_pi_t9semiauto_v5,,,,
20,iw8_pi_t9semiauto_variant_5_pc,iw8_pi_t9semiauto,,rec|5 front|5 mag|5,comp|1,barshort|1,,,,fastmags|0,pistolgrip05|1,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO_V6,ui_loot_weapon_pi_t9semiauto_v5,,,,
