0,iw8_sh_t9pump_variant_0,iw8_sh_t9pump,,,,,,,,,,,,,,,WEAPON_TANGO/SH_T9PUMP,ui_loot_weapon_sh_t9pump,,,,
1,iw8_sh_t9pump_variant_1,iw8_sh_t9pump,iw8_sh_t9pump_mpmtx,rec|1 front|1 back|1 guard|1,silencer3|0,barcust3|1,laserbalanced|0,,,xmags|0,pistolgrip05|1,,,,,,WEAPON_TANGO/SH_T9PUMP_V2,ui_loot_weapon_sh_t9pump_v1,,green,,
2,iw8_sh_t9pump_variant_2,iw8_sh_t9pump,,rec|2 front|2 back|2 guard|2,,barcust3|2,,,reflex|0,xmags|1,pistolgrip04|0,stockh|1,,,,,WEAPON_TANGO/SH_T9PUMP_V3,ui_loot_weapon_sh_t9pump_v2,,,,
3,iw8_sh_t9pump_variant_3,iw8_sh_t9pump,,rec|3 front|3 back|3 guard|3,,,,,,xmags|0,pistolgrip01|1,stockfold|1,,,,,WEAPON_TANGO/SH_T9PUMP_V4,ui_loot_weapon_sh_t9pump_v3,,,,
4,iw8_sh_t9pump_variant_4,iw8_sh_t9pump,,rec|4 front|4 back|4 guard|4,,barmid|1,,,reflex|0,xmags|0,pistolgrip04|0,stockh|2,,,,,WEAPON_TANGO/SH_T9PUMP_V5,ui_loot_weapon_sh_t9pump_v4,,,,
5,iw8_sh_t9pump_variant_5_ms,iw8_sh_t9pump,,rec|11 front|11 back|11 guard|11,,barcust3|6,laserads|0,,,,pistolgrip04|3,stockno|0,,,,,WEAPON_TANGO/SH_T9PUMP_V6,ui_loot_weapon_sh_t9pump_v5,,,,
6,iw8_sh_t9pump_variant_6,iw8_sh_t9pump,,rec|6 front|6 back|6 guard|6,silencer4|0,,laser|0,,,,pistolgrip04|0,stockno|0,,,,,WEAPON_TANGO/SH_T9PUMP_V7,ui_loot_weapon_sh_t9pump_v6,,,,
7,iw8_sh_t9pump_variant_7,iw8_sh_t9pump,,rec|7 front|7 back|7 guard|7,silencer|1,,,,,xmags|4,pistolgrip06|3,,,,,,WEAPON_TANGO/SH_T9PUMP_V8,ui_loot_weapon_sh_t9pump_v7,,,,
8,iw8_sh_t9pump_variant_8,iw8_sh_t9pump,,rec|8 front|8 back|8 guard|8,,barcust3|4,linearbrake|1,,,xmags|0,pistolgrip06|1,stockh|3,,,,,WEAPON_TANGO/SH_T9PUMP_V9,ui_loot_weapon_sh_t9pump_v8,,,,
9,iw8_sh_t9pump_variant_9,iw8_sh_t9pump,,rec|9 front|9 back|9 guard|9,,barmid|2,,,reflex|0,xmags|2,pistolgrip04|0,stockh|4,,,,,WEAPON_TANGO/SH_T9PUMP_V10,ui_loot_weapon_sh_t9pump_v9,,,,
10,iw8_sh_t9pump_variant_10,iw8_sh_t9pump,,rec|12 front|12 back|12 guard|12,,barcust|0,laserrange|0,,,xmagslrg|3,,,,,,,WEAPON_VICTOR/SH_T9PUMP_V11,ui_loot_weapon_sh_t9pump_v10,,,,
