0,iw8_sn_t9powersemi_variant_0,iw8_sn_t9powersemi,,,,,,,,,,,,,,,WEAPON_TANGO/SN_T9POWERSEMI,ui_loot_weapon_sn_t9powersemi,
1,iw8_sn_t9powersemi_variant_1,iw8_sn_t9powersemi,iw8_sn_t9powersemi_mpcb,rec|1 front|1 back|1 mag|1 scope|1,linearbrake|1,barcust|0,laserads|0,,,,pistolgrip06|0,,,,,,WEAPON_TANGO/SN_T9POWERSEMI_V2,ui_loot_weapon_sn_t9powersemi_v1,
2,iw8_sn_t9powersemi_variant_2,iw8_sn_t9powersemi,iw8_sn_t9powersemi_mpcb,rec|2 front|2 back|2 mag|2 scope|2,linearbrake|2,barcust|1,,,,xmagslrg|1,pistolgrip06|1,stockl|1,,,,,WEAPON_TANGO/SN_T9POWERSEMI_V3,ui_loot_weapon_sn_t9powersemi_v2,
3,iw8_sn_t9powersemi_variant_3,iw8_sn_t9powersemi,iw8_sn_t9powersemi_mpcb,rec|3 front|3 back|3 mag|3 scope|3,,,,,,,,,,,,,WEAPON_TANGO/SN_T9POWERSEMICB,ui_loot_weapon_sn_t9powersemi_v3,
4,iw8_sn_t9powersemi_variant_4,iw8_sn_t9powersemi,iw8_sn_t9powersemi_mpcb,rec|4 front|4 back|4 mag|4 scope|4,linearbrake|3,barmid|1,,,,smags2|1,,stockh|1,,,,,WEAPON_VICTOR/SN_T9POWERSEMI_V4,ui_loot_weapon_sn_t9powersemi_v4,
5,iw8_sn_t9powersemi_variant_5,iw8_sn_t9powersemi,iw8_sn_t9powersemi_mpcb,rec|5 front|5 back|5 mag|5 scope|5,silencer4|1,,laserrange|0,,,,pistolgrip04|0,stockno|0,,,,,WEAPON_VICTOR/SN_T9POWERSEMI_V5,ui_loot_weapon_sn_t9powersemi_v5,
6,iw8_sn_t9powersemi_variant_6,iw8_sn_t9powersemi,iw8_sn_t9powersemi_mpcb,rec|6 front|6 back|6 mag|6 scope|6,linearbrake|4,,,gripvertpro|0,,fastmags2|0,pistolgrip02|0,,,,,,WEAPON_VICTOR/SN_T9POWERSEMI_V6,ui_loot_weapon_sn_t9powersemi_v6,
7,iw8_sn_t9powersemi_variant_7,iw8_sn_t9powersemi,iw8_sn_t9powersemi_mpmtx,rec|7 front|7 back|7 mag|7 scope|7,,barlong|1,laser|0,gripcust|0,,fastmags|1,pistolgrip05|1,,,,,,WEAPON_XRAY/SN_T9POWERSEMI_V7,ui_loot_weapon_sn_t9powersemi_v7,
8,iw8_sn_t9powersemi_variant_8,iw8_sn_t9powersemi,iw8_sn_t9powersemi_mpcb,rec|8 front|8 back|8 mag|8 scope|8,silencer3|1,barmid|2,,,vzscope3|1,smags2|2,,stockfold|1,,,,,WEAPON_XRAY/SN_T9POWERSEMI_V8,ui_loot_weapon_sn_t9powersemi_v8,
9,iw8_sn_t9powersemi_variant_9,iw8_sn_t9powersemi,iw8_sn_t9powersemi_mpcb,rec|9 front|9 back|9 mag|9 scope|9,,barcust2|1,,gripangpro|2,,xmags|2,pistolgrip06|2,stockno|1,,,,,WEAPON_XRAY/SN_T9POWERSEMI_V9,ui_loot_weapon_sn_t9powersemi_v9,
10,iw8_sn_t9powersemi_variant_10,iw8_sn_t9powersemi,iw8_sn_t9powersemi_mpcb,rec|10 front|10 back|10 mag|10 scope|10,comp|2,barlong|2,lasermix2|1,,,xmagslrg|2,,stockcust|1,,,,,WEAPON_ZULU/SN_T9POWERSEMI_V10,ui_loot_weapon_sn_t9powersemi_v10,
11,iw8_sn_t9powersemi_variant_11,iw8_sn_t9powersemi,iw8_sn_t9powersemi_mpcb,rec|11 front|11 back|11 mag|11 scope|11,comp|4,barcust3|1,,gripvert|0,,xmags|3,,stocks|1,,,,,WEAPON_ZULU/SN_T9POWERSEMI_V11,ui_loot_weapon_sn_t9powersemi_v11,
12,iw8_sn_t9powersemi_variant_12,iw8_sn_t9powersemi,iw8_sn_t9powersemi_mpcb,rec|12 front|12 back|12 mag|12 scope|12,comp|3,barmid|0,,gripvertpro|2,,smags|2,,stockno|2,,,,,WEAPON_ZULU/SN_T9POWERSEMI_V12,ui_loot_weapon_sn_t9powersemi_v12,
